Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
21/05/2025;ESm25;ES;positif;6029;6051;6072;5855;5833;5812;5977;5928;5900;5900, 5850, 5800, 5750, 5700, 5680, 5600, 5500, 5575, 5500, 5575, 5500;5975;5975, 6000, 6020, 6050, 6020, 6050
21/05/2025;NQm25;NQ;positif;21769;21862;21960;20988;20889;20793;21522;21304;21440;21440, 21350, 21300, 21250, 21100, 21000, 20850, 20850;21400;21400, 21450, 21550, 21600, 21750, 21800, 22000, 21600, 21750, 21800, 22000
21/05/2025;RTY m25;RTY;positif;2130;2136;2143;2077;2071;2065;2114;2099;2100;2100, 2090, 2060, 2050, 2090, 2060, 2050, 2090, 2060, 2050;2110;2110, 2120, 2125, 2140, 2150, 2160
21/05/2025;YMm25;YM;positif;43281;43432;43592;42036;41876;41725;42916;42574;42600;42600, 42400, 42300, 42000, 41600, 41500, 41400, 41200, 41000, 40800, 41200, 41000, 40800;42750;42750, 43000, 43250, 43700, 43700
21/05/2025;6e;6e;non_specifie;1.1442;1.149921;;1.1252;1.119574;;1.1347;1.1292;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
21/05/2025;6j;6j;non_specifie;0.007027;0.007040;;0.006926;0.006913;;0.006995;0.006966;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
21/05/2025;6N;6N;non_specifie;0.5998;0.602799;;0.5911;0.588144;;0.5972;0.5946;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
21/05/2025;6S;6S;non_specifie;1.2388;1.244994;;1.2007;1.194697;;1.2207;1.2098;1.2200;1.2200, 1.2100, 1.1900, 1.1800, 1.1700;1.2300;1.2300, 1.2400, 1.2500
21/05/2025;6a;6a;non_specifie;0.6505;0.653752;;0.6400;0.6368;;0.6469;0.6439;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
21/05/2025;GCm25;GC;positif;3337;3344;;3277;3270;;3314;3297;3215;3215, 3200, 3180, 3175, 3150, 3125, 3100, 3050, 3000, 3150, 3125, 3100, 3050, 3000, 3150, 3125, 3100, 3050, 3000;3235;3235, 3245, 3275, 3300, 3330, 3350, 3400, 3330, 3350, 3400
