Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Min_1D;Min_1D_event;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
22/04/2025;ESm25;ES;negatif;5364;5407;5042;5002;5232;5143;5250;5250;5300;5300, 5325, 5200, 5150, 5100, 5000, 4900, 4800, 4700
22/04/2025;NQm25;NQ;negatif;18566;18705;17409;17266;18087;17772;17800;17800, 17700;18150;18150, 18300, 18400, 18500
22/04/2025;RTY m25;RTY;negatif;1907;1799;1811;1799;1867;1840;1850;1850, 1830, 1825, 1820, 1775, 1750, 1700;1875;1875, 1900, 1925, 1940, 1950, 1975, 2000, 1830, 1825, 1820, 1775, 1750, 1700
22/04/2025;YMm25;YM;negatif;39662;39965;37268;36935;38673;38004;39000;39000;39600;39600, 38000, 37000, 36500
22/04/2025;CLk25;CL;negatif;64.02;64.31;61.68;61.38;63.43;62.78;61.00;61.00, 60.50, 60.00, 59.50, 58.50, Hedgies: 69.50, 69.00, 68.00;62.50;62.50, 63.00, 63.50, 64.00, 64.50, 65.00, 65.50
22/04/2025;NG k25;NG;negatif;3.28;3.39;2.78;2.72;3.10;2.95;3.00;3.00;3.10;3.10, 2.80
22/04/2025;TTF k25;TTF;positif;37.14;37.56;33.81;33.37;35.76;34.78;37.00;37.00, 36.00, 35.00, 34.00, 32.00, 30.00, 29.00, 28.00;39.00;39.00, 40.00, 45.00
22/04/2025;GCm25;GC;positif;3590;3615;3394;3370;3493;3436;3400;3400, 3350, 3200, 3300, 3275, 3250;3250;3250, 3275, 3300, 3350, 3400, 3450, 3475, 3500, 3600, 3700
22/04/2025;6e;6e;non_specifie;1.1630;1.168815;1.1508;1.145046;1.1582;1.1547;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
22/04/2025;6j;6j;non_specifie;0.007215;0.007224;0.007141;0.007132;0.007183;0.007160;0.007125;0.007125, 0.007075, 0.007050;0.007175;0.007175, 0.007200, 0.007250, 0.007300
